timestamp,humidity,temperature
1783488982.34,56.5,25.6
1783488983.361,56.5,25.6
1783488984.384,56.4,25.6
1783488985.406,56.4,25.6
1783488986.429,56.3,25.6
1783488987.451,56.2,25.6
1783488988.474,56.2,25.6
1783488989.497,56.1,25.6
1783488990.519,56.1,25.6
1783488991.542,56.1,25.6
1783488992.567,56.0,25.6
1783488993.59,55.9,25.6
1783488994.612,55.9,25.6
1783488995.635,55.8,25.6
1783488996.657,55.7,25.6
1783488997.68,55.6,25.6
1783488998.702,55.4,25.6
1783488999.725,55.4,25.6
1783489000.747,55.4,25.6
1783489001.77,55.4,25.6
1783489002.793,55.4,25.6
1783489003.815,55.3,25.6
1783489004.837,55.3,25.6
1783489005.859,55.3,25.6
1783489006.881,55.2,25.6
1783489007.903,55.2,25.6
1783489008.926,55.2,25.6
1783489009.949,55.1,25.6
1783489010.975,55.0,25.6
1783489012.0,54.9,25.6
1783489013.023,54.8,25.5
1783489014.045,54.7,25.6
1783489015.068,54.7,25.6
1783489016.09,54.7,25.5
1783489017.113,54.6,25.5
1783489018.135,54.7,25.6
1783489019.157,54.7,25.6
1783489020.179,54.7,25.6
1783489021.202,54.7,25.6
1783489022.224,54.7,25.6
1783489023.246,54.6,25.6
1783489024.268,54.6,25.6
1783489025.291,54.5,25.6
1783489026.313,54.3,25.6
1783489027.336,54.3,25.5
1783489028.358,54.0,25.6
1783489029.38,53.8,25.6
1783489030.404,53.7,25.6
1783489031.431,53.6,25.6
1783489032.454,53.4,25.5
1783489033.476,53.3,25.6
1783489034.499,53.2,25.6
1783489035.521,53.2,25.6
1783489036.544,53.2,25.5
1783489037.566,53.2,25.6
1783489038.589,53.2,25.6
1783489039.612,53.2,25.6
1783489040.634,53.1,25.5
1783489041.657,53.1,25.5
1783489042.679,53.0,25.5
1783489043.701,53.0,25.6
1783489044.723,52.9,25.5
1783489045.745,52.8,25.5
1783489046.767,52.7,25.6
1783489047.79,52.7,25.6
1783489048.812,52.6,25.6
1783489049.837,52.6,25.6
1783489050.86,52.6,25.5
1783489051.884,52.6,25.6
1783489052.906,52.7,25.5
1783489053.929,52.7,25.6
1783489054.951,52.7,25.5
1783489055.974,52.7,25.6
1783489056.996,52.6,25.5
1783489058.019,52.6,25.5
1783489059.041,52.6,25.5
1783489060.064,52.6,25.5
1783489061.086,52.6,25.5
