timestamp,wind_angle,wind_dir_code,wind_direction,wind_level,wind_speed_kmh,wind_speed_ms
1782792976.453,198.8,9.0,南西南,0.0,0.0,0.0
1782792981.458,198.8,9.0,南西南,0.0,0.0,0.0
1782792986.466,198.8,9.0,南西南,0.0,0.0,0.0
1782792991.472,198.8,9.0,南西南,0.0,0.0,0.0
1782792996.487,198.8,9.0,南西南,0.0,0.0,0.0
1782793001.494,198.8,9.0,南西南,0.0,0.0,0.0
1782793006.499,198.8,9.0,南西南,0.0,0.0,0.0
1782793011.509,198.8,9.0,南西南,0.0,0.0,0.0
1782793016.518,198.8,9.0,南西南,0.0,0.0,0.0
1782793021.524,198.8,9.0,南西南,0.0,0.0,0.0
1782793026.534,198.8,9.0,南西南,0.0,0.0,0.0
1782793031.541,198.8,9.0,南西南,0.0,0.0,0.0
1782793036.547,198.8,9.0,南西南,0.0,0.0,0.0
1782793041.557,198.8,9.0,南西南,0.0,0.0,0.0
1782793046.568,198.8,9.0,南西南,0.0,0.0,0.0
1782793051.574,198.8,9.0,南西南,0.0,0.0,0.0
1782793056.584,198.8,9.0,南西南,0.0,0.0,0.0
1782793061.591,198.8,9.0,南西南,0.0,0.0,0.0
1782793066.6,198.8,9.0,南西南,0.0,0.0,0.0
1782793071.611,198.8,9.0,南西南,0.0,0.0,0.0
1782793076.618,198.8,9.0,南西南,0.0,0.0,0.0
1782793081.631,198.8,9.0,南西南,0.0,0.0,0.0
1782793086.638,198.8,9.0,南西南,0.0,0.0,0.0
1782793091.647,198.8,9.0,南西南,0.0,0.0,0.0
1782793096.658,198.8,9.0,南西南,0.0,0.0,0.0
1782793101.666,198.8,9.0,南西南,0.0,0.0,0.0
1782793106.672,198.8,9.0,南西南,0.0,0.0,0.0
1782793111.682,198.8,9.0,南西南,0.0,0.0,0.0
1782793116.697,198.8,9.0,南西南,0.0,0.0,0.0
1782793121.706,198.8,9.0,南西南,0.0,0.0,0.0
1782793126.713,198.8,9.0,南西南,0.0,0.0,0.0
1782793131.723,198.8,9.0,南西南,0.0,0.0,0.0
1782793136.728,198.8,9.0,南西南,0.0,0.0,0.0
1782793141.738,198.8,9.0,南西南,0.0,0.0,0.0
1782793146.745,198.8,9.0,南西南,0.0,0.0,0.0
1782793151.756,198.8,9.0,南西南,0.0,0.0,0.0
1782793156.764,198.8,9.0,南西南,0.0,0.0,0.0
1782793161.767,198.8,9.0,南西南,0.0,0.0,0.0
1782793166.779,198.8,9.0,南西南,0.0,0.0,0.0
1782793171.793,198.8,9.0,南西南,0.0,0.0,0.0
1782793176.799,198.8,9.0,南西南,0.0,0.0,0.0
1782793181.808,198.8,9.0,南西南,0.0,0.0,0.0
1782793186.826,198.8,9.0,南西南,0.0,0.0,0.0
1782793191.833,198.8,9.0,南西南,0.0,0.0,0.0
1782793196.847,198.8,9.0,南西南,0.0,0.0,0.0
1782793201.858,198.8,9.0,南西南,0.0,0.0,0.0
1782793206.866,198.8,9.0,南西南,0.0,0.0,0.0
1782793211.873,198.8,9.0,南西南,0.0,0.0,0.0
1782793216.883,198.8,9.0,南西南,0.0,0.0,0.0
1782793221.888,198.8,9.0,南西南,0.0,0.0,0.0
1782793226.898,198.8,9.0,南西南,0.0,0.0,0.0
1782793231.906,198.8,9.0,南西南,0.0,0.0,0.0
