timestamp,hour_rain,instant_rain,last_hour_rain,max_24h_rain,max_24h_time,min_24h_rain,min_24h_time,today_rain,total_rain,yesterday_rain
1782799533.735,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799538.745,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799543.754,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799548.76,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799553.764,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799558.774,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799563.782,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799568.795,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799573.806,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799578.816,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799583.83,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799588.841,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799593.851,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799598.861,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799603.867,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799608.88,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799613.894,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799618.903,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799623.908,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799628.919,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799633.929,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799638.941,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799643.95,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799648.96,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799653.973,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799658.984,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799663.996,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799669.009,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799674.017,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799679.029,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799684.041,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799689.053,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799694.063,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799699.073,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799704.087,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799709.101,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799714.108,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799719.116,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799724.13,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799729.138,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799734.149,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799739.165,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799744.174,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799749.187,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799754.2,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799759.212,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799764.225,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799769.228,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799774.24,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799779.249,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799784.259,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799789.27,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799794.278,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799799.284,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799804.292,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799809.304,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799814.313,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799819.323,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799824.335,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799829.346,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799834.354,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799839.361,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799844.371,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799849.38,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799854.389,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799859.403,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799864.412,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799869.424,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799874.433,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799879.447,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799884.452,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799889.462,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799894.475,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799899.482,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799904.495,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799909.498,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799914.509,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799919.522,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799924.533,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799929.545,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799934.552,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799939.567,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799944.576,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799949.586,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799954.597,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799959.607,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799964.621,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799969.634,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799974.646,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799979.65,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799984.66,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799989.673,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799994.686,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782799999.699,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800004.706,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800009.721,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800014.732,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800019.742,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800024.753,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800029.76,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800034.772,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800039.783,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800044.794,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800049.802,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800054.808,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800059.82,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800064.834,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800069.845,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800074.851,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800079.865,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800084.876,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800089.882,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800094.9,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800099.907,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800104.921,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800109.934,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800114.948,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800119.955,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800124.967,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800129.976,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800134.984,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800139.997,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800144.999,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800150.01,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800155.018,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800160.022,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800165.031,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800170.037,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800175.047,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800180.056,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800185.064,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800190.068,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800195.079,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800200.091,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800205.098,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800210.109,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800215.115,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800220.123,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800225.138,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800230.144,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800235.162,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800240.17,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800245.183,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800250.191,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800255.206,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800260.218,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800265.226,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800270.236,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800275.244,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800280.255,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800285.26,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800290.268,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800295.278,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800300.286,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800305.297,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800310.304,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800315.311,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800320.321,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800325.333,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800330.342,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800335.35,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800340.354,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800345.366,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800350.381,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800355.384,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800360.395,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800365.407,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800370.418,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800375.426,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800380.433,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800385.442,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800390.449,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800395.461,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800400.466,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800405.472,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800410.482,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800415.489,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800420.498,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800425.504,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800430.512,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800435.522,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800440.532,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800445.541,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800450.547,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800455.559,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800460.566,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800465.576,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
1782800470.584,0.0,0.0,0.0,0.0,00:01,0.0,00:01,0.0,7.1,0.3
